"(46.516283903637245, 6.612842176820696)","(46.516283903637245, 6.614148839138627)","(46.516283903637245, 6.615455501456557)","(46.516283903637245, 6.616762163774488)","(46.516283903637245, 6.618068826092418)","(46.516283903637245, 6.619375488410348)","(46.516283903637245, 6.620682150728278)","(46.516283903637245, 6.621988813046209)","(46.516283903637245, 6.62329547536414)","(46.516283903637245, 6.62460213768207)","(46.516283903637245, 6.6259088)","(46.516283903637245, 6.62721546231793)","(46.516283903637245, 6.628522124635861)","(46.516283903637245, 6.629828786953791)","(46.516283903637245, 6.631135449271722)","(46.516283903637245, 6.632442111589652)","(46.516283903637245, 6.633748773907582)","(46.516283903637245, 6.635055436225513)","(46.516283903637245, 6.636362098543443)","(46.516283903637245, 6.637668760861374)"
"(46.51538458327352, 6.612842176820696)","(46.51538458327352, 6.614148839138627)","(46.51538458327352, 6.615455501456557)","(46.51538458327352, 6.616762163774488)","(46.51538458327352, 6.618068826092418)","(46.51538458327352, 6.619375488410348)","(46.51538458327352, 6.620682150728278)","(46.51538458327352, 6.621988813046209)","(46.51538458327352, 6.62329547536414)","(46.51538458327352, 6.62460213768207)","(46.51538458327352, 6.6259088)","(46.51538458327352, 6.62721546231793)","(46.51538458327352, 6.628522124635861)","(46.51538458327352, 6.629828786953791)","(46.51538458327352, 6.631135449271722)","(46.51538458327352, 6.632442111589652)","(46.51538458327352, 6.633748773907582)","(46.51538458327352, 6.635055436225513)","(46.51538458327352, 6.636362098543443)","(46.51538458327352, 6.637668760861374)"
"(46.514485262909794, 6.612842176820696)","(46.514485262909794, 6.614148839138627)","(46.514485262909794, 6.615455501456557)","(46.514485262909794, 6.616762163774488)","(46.514485262909794, 6.618068826092418)","(46.514485262909794, 6.619375488410348)","(46.514485262909794, 6.620682150728278)","(46.514485262909794, 6.621988813046209)","(46.514485262909794, 6.62329547536414)","(46.514485262909794, 6.62460213768207)","(46.514485262909794, 6.6259088)","(46.514485262909794, 6.62721546231793)","(46.514485262909794, 6.628522124635861)","(46.514485262909794, 6.629828786953791)","(46.514485262909794, 6.631135449271722)","(46.514485262909794, 6.632442111589652)","(46.514485262909794, 6.633748773907582)","(46.514485262909794, 6.635055436225513)","(46.514485262909794, 6.636362098543443)","(46.514485262909794, 6.637668760861374)"
"(46.51358594254607, 6.612842176820696)","(46.51358594254607, 6.614148839138627)","(46.51358594254607, 6.615455501456557)","(46.51358594254607, 6.616762163774488)","(46.51358594254607, 6.618068826092418)","(46.51358594254607, 6.619375488410348)","(46.51358594254607, 6.620682150728278)","(46.51358594254607, 6.621988813046209)","(46.51358594254607, 6.62329547536414)","(46.51358594254607, 6.62460213768207)","(46.51358594254607, 6.6259088)","(46.51358594254607, 6.62721546231793)","(46.51358594254607, 6.628522124635861)","(46.51358594254607, 6.629828786953791)","(46.51358594254607, 6.631135449271722)","(46.51358594254607, 6.632442111589652)","(46.51358594254607, 6.633748773907582)","(46.51358594254607, 6.635055436225513)","(46.51358594254607, 6.636362098543443)","(46.51358594254607, 6.637668760861374)"
"(46.51268662218234, 6.612842176820696)","(46.51268662218234, 6.614148839138627)","(46.51268662218234, 6.615455501456557)","(46.51268662218234, 6.616762163774488)","(46.51268662218234, 6.618068826092418)","(46.51268662218234, 6.619375488410348)","(46.51268662218234, 6.620682150728278)","(46.51268662218234, 6.621988813046209)","(46.51268662218234, 6.62329547536414)","(46.51268662218234, 6.62460213768207)","(46.51268662218234, 6.6259088)","(46.51268662218234, 6.62721546231793)","(46.51268662218234, 6.628522124635861)","(46.51268662218234, 6.629828786953791)","(46.51268662218234, 6.631135449271722)","(46.51268662218234, 6.632442111589652)","(46.51268662218234, 6.633748773907582)","(46.51268662218234, 6.635055436225513)","(46.51268662218234, 6.636362098543443)","(46.51268662218234, 6.637668760861374)"
"(46.51178730181862, 6.612842176820696)","(46.51178730181862, 6.614148839138627)","(46.51178730181862, 6.615455501456557)","(46.51178730181862, 6.616762163774488)","(46.51178730181862, 6.618068826092418)","(46.51178730181862, 6.619375488410348)","(46.51178730181862, 6.620682150728278)","(46.51178730181862, 6.621988813046209)","(46.51178730181862, 6.62329547536414)","(46.51178730181862, 6.62460213768207)","(46.51178730181862, 6.6259088)","(46.51178730181862, 6.62721546231793)","(46.51178730181862, 6.628522124635861)","(46.51178730181862, 6.629828786953791)","(46.51178730181862, 6.631135449271722)","(46.51178730181862, 6.632442111589652)","(46.51178730181862, 6.633748773907582)","(46.51178730181862, 6.635055436225513)","(46.51178730181862, 6.636362098543443)","(46.51178730181862, 6.637668760861374)"
"(46.5108879814549, 6.612842176820696)","(46.5108879814549, 6.614148839138627)","(46.5108879814549, 6.615455501456557)","(46.5108879814549, 6.616762163774488)","(46.5108879814549, 6.618068826092418)","(46.5108879814549, 6.619375488410348)","(46.5108879814549, 6.620682150728278)","(46.5108879814549, 6.621988813046209)","(46.5108879814549, 6.62329547536414)","(46.5108879814549, 6.62460213768207)","(46.5108879814549, 6.6259088)","(46.5108879814549, 6.62721546231793)","(46.5108879814549, 6.628522124635861)","(46.5108879814549, 6.629828786953791)","(46.5108879814549, 6.631135449271722)","(46.5108879814549, 6.632442111589652)","(46.5108879814549, 6.633748773907582)","(46.5108879814549, 6.635055436225513)","(46.5108879814549, 6.636362098543443)","(46.5108879814549, 6.637668760861374)"
"(46.50998866109117, 6.612842176820696)","(46.50998866109117, 6.614148839138627)","(46.50998866109117, 6.615455501456557)","(46.50998866109117, 6.616762163774488)","(46.50998866109117, 6.618068826092418)","(46.50998866109117, 6.619375488410348)","(46.50998866109117, 6.620682150728278)","(46.50998866109117, 6.621988813046209)","(46.50998866109117, 6.62329547536414)","(46.50998866109117, 6.62460213768207)","(46.50998866109117, 6.6259088)","(46.50998866109117, 6.62721546231793)","(46.50998866109117, 6.628522124635861)","(46.50998866109117, 6.629828786953791)","(46.50998866109117, 6.631135449271722)","(46.50998866109117, 6.632442111589652)","(46.50998866109117, 6.633748773907582)","(46.50998866109117, 6.635055436225513)","(46.50998866109117, 6.636362098543443)","(46.50998866109117, 6.637668760861374)"
"(46.50908934072745, 6.612842176820696)","(46.50908934072745, 6.614148839138627)","(46.50908934072745, 6.615455501456557)","(46.50908934072745, 6.616762163774488)","(46.50908934072745, 6.618068826092418)","(46.50908934072745, 6.619375488410348)","(46.50908934072745, 6.620682150728278)","(46.50908934072745, 6.621988813046209)","(46.50908934072745, 6.62329547536414)","(46.50908934072745, 6.62460213768207)","(46.50908934072745, 6.6259088)","(46.50908934072745, 6.62721546231793)","(46.50908934072745, 6.628522124635861)","(46.50908934072745, 6.629828786953791)","(46.50908934072745, 6.631135449271722)","(46.50908934072745, 6.632442111589652)","(46.50908934072745, 6.633748773907582)","(46.50908934072745, 6.635055436225513)","(46.50908934072745, 6.636362098543443)","(46.50908934072745, 6.637668760861374)"
"(46.50819002036372, 6.612842176820696)","(46.50819002036372, 6.614148839138627)","(46.50819002036372, 6.615455501456557)","(46.50819002036372, 6.616762163774488)","(46.50819002036372, 6.618068826092418)","(46.50819002036372, 6.619375488410348)","(46.50819002036372, 6.620682150728278)","(46.50819002036372, 6.621988813046209)","(46.50819002036372, 6.62329547536414)","(46.50819002036372, 6.62460213768207)","(46.50819002036372, 6.6259088)","(46.50819002036372, 6.62721546231793)","(46.50819002036372, 6.628522124635861)","(46.50819002036372, 6.629828786953791)","(46.50819002036372, 6.631135449271722)","(46.50819002036372, 6.632442111589652)","(46.50819002036372, 6.633748773907582)","(46.50819002036372, 6.635055436225513)","(46.50819002036372, 6.636362098543443)","(46.50819002036372, 6.637668760861374)"
"(46.5072907, 6.612842176820696)","(46.5072907, 6.614148839138627)","(46.5072907, 6.615455501456557)","(46.5072907, 6.616762163774488)","(46.5072907, 6.618068826092418)","(46.5072907, 6.619375488410348)","(46.5072907, 6.620682150728278)","(46.5072907, 6.621988813046209)","(46.5072907, 6.62329547536414)","(46.5072907, 6.62460213768207)","(46.5072907, 6.6259088)","(46.5072907, 6.62721546231793)","(46.5072907, 6.628522124635861)","(46.5072907, 6.629828786953791)","(46.5072907, 6.631135449271722)","(46.5072907, 6.632442111589652)","(46.5072907, 6.633748773907582)","(46.5072907, 6.635055436225513)","(46.5072907, 6.636362098543443)","(46.5072907, 6.637668760861374)"
"(46.50639137963628, 6.612842176820696)","(46.50639137963628, 6.614148839138627)","(46.50639137963628, 6.615455501456557)","(46.50639137963628, 6.616762163774488)","(46.50639137963628, 6.618068826092418)","(46.50639137963628, 6.619375488410348)","(46.50639137963628, 6.620682150728278)","(46.50639137963628, 6.621988813046209)","(46.50639137963628, 6.62329547536414)","(46.50639137963628, 6.62460213768207)","(46.50639137963628, 6.6259088)","(46.50639137963628, 6.62721546231793)","(46.50639137963628, 6.628522124635861)","(46.50639137963628, 6.629828786953791)","(46.50639137963628, 6.631135449271722)","(46.50639137963628, 6.632442111589652)","(46.50639137963628, 6.633748773907582)","(46.50639137963628, 6.635055436225513)","(46.50639137963628, 6.636362098543443)","(46.50639137963628, 6.637668760861374)"
"(46.50549205927255, 6.612842176820696)","(46.50549205927255, 6.614148839138627)","(46.50549205927255, 6.615455501456557)","(46.50549205927255, 6.616762163774488)","(46.50549205927255, 6.618068826092418)","(46.50549205927255, 6.619375488410348)","(46.50549205927255, 6.620682150728278)","(46.50549205927255, 6.621988813046209)","(46.50549205927255, 6.62329547536414)","(46.50549205927255, 6.62460213768207)","(46.50549205927255, 6.6259088)","(46.50549205927255, 6.62721546231793)","(46.50549205927255, 6.628522124635861)","(46.50549205927255, 6.629828786953791)","(46.50549205927255, 6.631135449271722)","(46.50549205927255, 6.632442111589652)","(46.50549205927255, 6.633748773907582)","(46.50549205927255, 6.635055436225513)","(46.50549205927255, 6.636362098543443)","(46.50549205927255, 6.637668760861374)"
"(46.504592738908826, 6.612842176820696)","(46.504592738908826, 6.614148839138627)","(46.504592738908826, 6.615455501456557)","(46.504592738908826, 6.616762163774488)","(46.504592738908826, 6.618068826092418)","(46.504592738908826, 6.619375488410348)","(46.504592738908826, 6.620682150728278)","(46.504592738908826, 6.621988813046209)","(46.504592738908826, 6.62329547536414)","(46.504592738908826, 6.62460213768207)","(46.504592738908826, 6.6259088)","(46.504592738908826, 6.62721546231793)","(46.504592738908826, 6.628522124635861)","(46.504592738908826, 6.629828786953791)","(46.504592738908826, 6.631135449271722)","(46.504592738908826, 6.632442111589652)","(46.504592738908826, 6.633748773907582)","(46.504592738908826, 6.635055436225513)","(46.504592738908826, 6.636362098543443)","(46.504592738908826, 6.637668760861374)"
"(46.503693418545105, 6.612842176820696)","(46.503693418545105, 6.614148839138627)","(46.503693418545105, 6.615455501456557)","(46.503693418545105, 6.616762163774488)","(46.503693418545105, 6.618068826092418)","(46.503693418545105, 6.619375488410348)","(46.503693418545105, 6.620682150728278)","(46.503693418545105, 6.621988813046209)","(46.503693418545105, 6.62329547536414)","(46.503693418545105, 6.62460213768207)","(46.503693418545105, 6.6259088)","(46.503693418545105, 6.62721546231793)","(46.503693418545105, 6.628522124635861)","(46.503693418545105, 6.629828786953791)","(46.503693418545105, 6.631135449271722)","(46.503693418545105, 6.632442111589652)","(46.503693418545105, 6.633748773907582)","(46.503693418545105, 6.635055436225513)","(46.503693418545105, 6.636362098543443)","(46.503693418545105, 6.637668760861374)"
"(46.502794098181376, 6.612842176820696)","(46.502794098181376, 6.614148839138627)","(46.502794098181376, 6.615455501456557)","(46.502794098181376, 6.616762163774488)","(46.502794098181376, 6.618068826092418)","(46.502794098181376, 6.619375488410348)","(46.502794098181376, 6.620682150728278)","(46.502794098181376, 6.621988813046209)","(46.502794098181376, 6.62329547536414)","(46.502794098181376, 6.62460213768207)","(46.502794098181376, 6.6259088)","(46.502794098181376, 6.62721546231793)","(46.502794098181376, 6.628522124635861)","(46.502794098181376, 6.629828786953791)","(46.502794098181376, 6.631135449271722)","(46.502794098181376, 6.632442111589652)","(46.502794098181376, 6.633748773907582)","(46.502794098181376, 6.635055436225513)","(46.502794098181376, 6.636362098543443)","(46.502794098181376, 6.637668760861374)"
"(46.501894777817654, 6.612842176820696)","(46.501894777817654, 6.614148839138627)","(46.501894777817654, 6.615455501456557)","(46.501894777817654, 6.616762163774488)","(46.501894777817654, 6.618068826092418)","(46.501894777817654, 6.619375488410348)","(46.501894777817654, 6.620682150728278)","(46.501894777817654, 6.621988813046209)","(46.501894777817654, 6.62329547536414)","(46.501894777817654, 6.62460213768207)","(46.501894777817654, 6.6259088)","(46.501894777817654, 6.62721546231793)","(46.501894777817654, 6.628522124635861)","(46.501894777817654, 6.629828786953791)","(46.501894777817654, 6.631135449271722)","(46.501894777817654, 6.632442111589652)","(46.501894777817654, 6.633748773907582)","(46.501894777817654, 6.635055436225513)","(46.501894777817654, 6.636362098543443)","(46.501894777817654, 6.637668760861374)"
"(46.500995457453925, 6.612842176820696)","(46.500995457453925, 6.614148839138627)","(46.500995457453925, 6.615455501456557)","(46.500995457453925, 6.616762163774488)","(46.500995457453925, 6.618068826092418)","(46.500995457453925, 6.619375488410348)","(46.500995457453925, 6.620682150728278)","(46.500995457453925, 6.621988813046209)","(46.500995457453925, 6.62329547536414)","(46.500995457453925, 6.62460213768207)","(46.500995457453925, 6.6259088)","(46.500995457453925, 6.62721546231793)","(46.500995457453925, 6.628522124635861)","(46.500995457453925, 6.629828786953791)","(46.500995457453925, 6.631135449271722)","(46.500995457453925, 6.632442111589652)","(46.500995457453925, 6.633748773907582)","(46.500995457453925, 6.635055436225513)","(46.500995457453925, 6.636362098543443)","(46.500995457453925, 6.637668760861374)"
"(46.5000961370902, 6.612842176820696)","(46.5000961370902, 6.614148839138627)","(46.5000961370902, 6.615455501456557)","(46.5000961370902, 6.616762163774488)","(46.5000961370902, 6.618068826092418)","(46.5000961370902, 6.619375488410348)","(46.5000961370902, 6.620682150728278)","(46.5000961370902, 6.621988813046209)","(46.5000961370902, 6.62329547536414)","(46.5000961370902, 6.62460213768207)","(46.5000961370902, 6.6259088)","(46.5000961370902, 6.62721546231793)","(46.5000961370902, 6.628522124635861)","(46.5000961370902, 6.629828786953791)","(46.5000961370902, 6.631135449271722)","(46.5000961370902, 6.632442111589652)","(46.5000961370902, 6.633748773907582)","(46.5000961370902, 6.635055436225513)","(46.5000961370902, 6.636362098543443)","(46.5000961370902, 6.637668760861374)"
"(46.49919681672648, 6.612842176820696)","(46.49919681672648, 6.614148839138627)","(46.49919681672648, 6.615455501456557)","(46.49919681672648, 6.616762163774488)","(46.49919681672648, 6.618068826092418)","(46.49919681672648, 6.619375488410348)","(46.49919681672648, 6.620682150728278)","(46.49919681672648, 6.621988813046209)","(46.49919681672648, 6.62329547536414)","(46.49919681672648, 6.62460213768207)","(46.49919681672648, 6.6259088)","(46.49919681672648, 6.62721546231793)","(46.49919681672648, 6.628522124635861)","(46.49919681672648, 6.629828786953791)","(46.49919681672648, 6.631135449271722)","(46.49919681672648, 6.632442111589652)","(46.49919681672648, 6.633748773907582)","(46.49919681672648, 6.635055436225513)","(46.49919681672648, 6.636362098543443)","(46.49919681672648, 6.637668760861374)"
